交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(元),换手率(%),MA5,MA10,MA20,MA60,MA120,MA250,MACD_DIF,MACD_DEA,MACD柱,RSI6,RSI12,RSI24,KDJ_K,KDJ_D,KDJ_J,BOLL中轨,BOLL上轨,BOLL下轨,60日波动率
20210730,37.9185255,39.2568264,37.83921878,38.68185268,37.66077866,1.0210740200000004,2.7112,10235294,398525959.75,1.3829,38.009728228,38.522247906,39.04864626,,,,-0.09678654115189289,0.09573949560316718,-0.38505207351012016,52.77503069143349,54.922798693603966,63.43699960248121,43.546477615951154,41.785348074856714,47.06873669814004,39.04864626,42.036273110754344,36.06101940924565,
20210802,39.0089929,40.13911366,38.09696562,39.27665308,38.68185268,0.594800400000004,1.5377,13393149,529877426.21,1.8096,37.914560164,38.710601366,39.117543973,,,,-0.028066998508904817,0.07097819678075279,-0.1980903905793152,57.90547939642512,57.59844129005095,64.72765259977399,51.58343262935061,45.05137625968801,64.6475453686758,39.117543973,42.0566724705751,36.17841547542489,
20210803,40.22833372,40.6942607,37.28407174,37.46251186,39.27665308,-1.8141412200000033,-4.6189,12913765,505804624.84,1.7448,37.952230856,38.683835347999995,39.075412278,,,,-0.11862486728139032,0.033057583968324165,-0.303364902499429,41.431584426911904,48.09904490536709,58.190305432040596,46.27706697413596,45.45993983117066,47.911321260066586,39.075412278,42.08684318072907,36.063981375270934,
20210804,37.05606492,38.74133272,36.89745148,37.670692,37.46251186,0.20818014000000318,0.5557,14012230,534224772.07,1.8932,38.150497656,38.436001848000004,38.974791877,,,,-0.17161595139337749,-0.007877123104016164,-0.32747765657872263,43.63959029797266,49.148930878117824,58.68990209243896,43.963266094414195,44.96104858558517,41.96770111207225,38.974791877,42.03481825303973,35.91476550096027,
20210805,37.670692,37.670692,35.51949722,35.77724406,37.670692,-1.8934479400000015,-5.0263,14042131,511558001.94,1.8973,37.773790736,37.97304887,38.68680935,,,,-0.3622217253113931,-0.07874604354549156,-0.5669513635318031,30.91795735296489,40.933217180836586,52.71199126353535,31.290196044259844,40.40409773847672,13.062392655826088,38.68680935,41.81492059167623,35.55869810832377,
20210806,35.8862908,36.1341243,33.5566559,33.6062226,35.77724406,-2.1710214599999986,-6.0682,14627760,507010259.72,1.9764,36.75866472,37.384196474,38.318033102,,,,-0.6806157475513146,-0.19911998434665618,-0.9629915264093168,22.066894736746022,33.85460282033992,46.98602357468089,21.091612177651466,33.96660255153497,-4.658368570115542,38.318033102,41.99741610608925,34.638650097910755,
20210809,33.6062226,34.201023,32.99159552,33.74500936,33.6062226,0.138786759999995,0.413,11990092,407305974.47,1.62,35.652335976,36.783448070000006,37.950743855,,,,-0.9112421402743109,-0.3415444155321872,-1.1393954494842475,23.741596566262885,34.64280612650359,47.36740678076313,17.32147804546191,28.41822771617728,-4.872021295968835,37.950743855,41.91986533530488,33.98162237469512,
20210810,33.71526934,33.74500936,32.5653219,33.3088224,33.74500936,-0.43618696000000057,-1.2926,12472377,414310197.89,1.6852,34.821598084,36.38691447000001,37.551731919999995,,,,-1.1163433491567147,-0.49650420225709274,-1.239678293799244,21.961728092067247,33.28300813167765,46.27563560595397,14.596432518075295,23.810962650143285,-3.8326277460606875,37.551731919999995,41.70789430921916,33.39556953078083,
20210811,33.6062226,34.8453901,32.92220214,34.80573674,33.3088224,1.4969143400000036,4.494,16994358,586231099.35,2.2962,34.248607032,36.199552344,37.364865461,,,,-1.144901347806396,-0.6261836313669534,-1.0374354328788853,40.371143175841084,41.83102852430779,50.37189441819153,18.917946881855876,22.17995739404748,12.393925857472667,37.364865461,41.66686921776884,33.06286170423116,
20210812,34.80573674,34.81565008,32.8131554,33.3088224,34.80573674,-1.4969143400000036,-4.3008,10344736,350102768.02,1.3977,33.754922699999995,35.764356718,37.10067495,,,,-1.2736405095084962,-0.755675006995262,-1.0359310050264683,31.464174350535416,36.7012510900632,46.65961498622939,15.660745075671272,20.00688662125541,6.968461984502994,37.10067495,41.72230631222359,32.47904358777641,
