交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(元)
20251215,1382.76506393,1383.14927473,1369.29847539,1369.711502,1364.57268255,5.138819450000028,0.3766,3335879,4774362060.21
20251216,1369.9036074,1372.38176706,1359.145705,1365.869394,1369.711502,-3.842108000000053,-0.2805,2396367,3403139194.19
20251217,1368.750975,1383.10124838,1361.71991736,1376.5312437,1365.869394,10.661849699999948,0.7806,3138249,4489482138.1
20251218,1376.9154545,1382.08308976,1369.81715997,1374.514137,1376.5312437,-2.017106700000113,-0.1465,1782995,2551177659.18
20251219,1377.40503,1379.79839335,1368.62285183,1377.40503,1374.51345632,2.891573679999965,0.2104,2650868,3733028356.79
20251222,1377.40503,1381.44932562,1374.06409014,1375.70525358,1377.40503,-1.6997764199998073,-0.1234,2042565,2881636855.8
20251223,1375.70525358,1380.26729719,1364.89115877,1375.31450038,1375.70525358,-0.39075320000006286,-0.0284,2450681,3445377031.98
20251224,1372.51084617,1373.84917588,1367.6362,1368.5153947,1375.31450038,-6.799105680000139,-0.4944,2518669,3533253565.21
20251225,1372.520615,1386.66588084,1368.98429854,1381.47863211,1368.5153947,12.963237410000147,0.9472,2338621,3299572095.79
20251226,1381.47863211,1386.33374062,1377.40503,1381.43955679,1381.47863211,-0.039075319999938074,-0.0028,1780299,2520605635.13
20251229,1381.43955679,1381.43955679,1368.613083,1369.589966,1381.43955679,-11.849590790000093,-0.8578,2630810,3694660106.7
20251230,1368.613083,1369.4922777,1353.959838,1357.59384276,1369.589966,-11.996123240000088,-0.8759,3379194,4702489813.46
20251231,1357.86737,1361.774902,1345.33396111,1345.34372994,1357.59384276,-12.250112819999913,-0.9023,3476563,4799456452.08
20260105,1352.982955,1398.77923004,1352.982955,1393.035158,1345.34372994,47.69142805999991,3.5449,7094942,10018086372.3
20260106,1399.43374165,1403.75156451,1383.78407599,1394.99869283,1393.035158,1.9635348300000715,0.141,3958618,5649710152.77
20260107,1399.75611304,1401.827105,1387.3692366,1390.45618688,1394.99869283,-4.542505950000077,-0.3256,2968380,4234255286.35
